"YEAR","MONTH","site_merged","mean_min_temp","mean_max_temp","mean_min_light","mean_max_light","MY"
2018,4,"QUD",9.00293333333333,27.3539333333333,227.116666666667,74251.23,2018-04-01
2018,4,"SEI",8.55196666666667,22.7226,246.856666666667,82782.0233333333,2018-04-01
2018,4,"SJD",8.69846666666667,22.49,228.92,86857.9733333333,2018-04-01
2018,5,"FAR",12.5561290322581,30.4953225806452,629.870967741935,119245.229032258,2018-05-01
2018,5,"LSA",11.6861290322581,29.6514193548387,288.551612903226,171645.574193548,2018-05-01
2018,5,"QUD",11.729064516129,30.0557096774194,362.51935483871,92567.2774193548,2018-05-01
2018,5,"SEI",11.1653225806452,25.1314516129032,229.883870967742,88645.0225806452,2018-05-01
2018,5,"SJD",11.216064516129,23.2137096774194,359.032258064516,57400.3709677419,2018-05-01
2018,6,"FAR",15.6893666666667,31.2711666666667,47.3766666666667,93069.51,2018-06-01
2018,6,"LSA",14.3691333333333,30.6096,26.2,163956.63,2018-06-01
2018,6,"QUD",14.3334666666667,26.9224333333333,43.0633333333333,30931.3266666667,2018-06-01
2018,6,"SEI",14.6380666666667,25.6998666666667,41.6233333333333,73631.2333333333,2018-06-01
2018,6,"SJD",14.4828,23.7992333333333,31.59,42837.6933333333,2018-06-01
2018,7,"FAR",16.6043870967742,32.2230322580645,29.8806451612903,98489.5387096774,2018-07-01
2018,7,"LSA",15.2556129032258,30.8601612903226,54.1709677419355,138978.696774194,2018-07-01
2018,7,"QUD",16.7617741935484,30.1651290322581,80.2129032258064,38878.035483871,2018-07-01
2018,7,"SEI",16.8250967741935,27.3647096774194,52.7774193548387,62755.9741935484,2018-07-01
2018,7,"SJD",16.8985483870968,28.0350967741935,50.3548387096774,50867.0032258065,2018-07-01
2018,8,"FAR",19.3364193548387,38.8455806451613,309.722580645161,83200.5516129032,2018-08-01
2018,8,"LSA",13.8829032258065,34.1498064516129,161.470967741935,136534.232258065,2018-08-01
2018,8,"QUD",14.3715483870968,31.1482258064516,151.051612903226,39933.5967741935,2018-08-01
2018,8,"SEI",14.676,30.0477419354839,155.212903225806,78178.3,2018-08-01
2018,8,"SJD",13.9707096774194,29.1449032258065,241.322580645161,55055.9129032258,2018-08-01
2018,9,"FAR",19.0543666666667,42.1191666666667,475.776666666667,148158.016666667,2018-09-01
2018,9,"LSA",15.1928,32.7186666666667,331.89,116377.063333333,2018-09-01
2018,9,"QUD",14.9077,29.3861666666667,278.07,38692.85,2018-09-01
2018,9,"SEI",14.9574,29.6865333333333,244.713333333333,79498.3,2018-09-01
2018,9,"SJD",14.5729666666667,26.5181,200.22,72471.5966666667,2018-09-01
2018,10,"FAR",14.7846774193548,34.7217741935484,132.645161290323,127045.283870968,2018-10-01
2018,10,"LSA",12.5270967741935,27.5155161290323,121.538709677419,84089.4483870968,2018-10-01
2018,10,"QUD",12.8103548387097,24.5052258064516,100.703225806452,14283.4258064516,2018-10-01
2018,10,"SEI",10.7314193548387,27.0717096774194,128.125806451613,78600.5193548387,2018-10-01
2018,10,"SJD",11.863935483871,23.7712903225806,86.1032258064516,69322.6806451613,2018-10-01
2018,11,"FAR",11.5521666666667,27.9922,169.716666666667,87908.55,2018-11-01
2018,11,"LSA",11.1952666666667,19.9702666666667,154.283333333333,20609.39,2018-11-01
2018,11,"QUD",10.4232666666667,18.0753333333333,186.58,11538.9633333333,2018-11-01
2018,11,"SEI",9.93193333333333,19.6198333333333,210.263333333333,40254.3466666667,2018-11-01
2018,11,"SJD",10.1353,18.1781,100.833333333333,34484.8533333333,2018-11-01
2018,12,"FAR",8.55190322580645,21.5254193548387,450.693548387097,34244.6709677419,2018-12-01
2018,12,"LSA",7.74296774193548,18.8125483870968,204.851612903226,15022.3096774194,2018-12-01
2018,12,"QUD",9.66845161290323,17.6208064516129,134.364516129032,10211.1838709677,2018-12-01
2018,12,"SEI",7.31051612903226,18.0397419354839,110.406451612903,32455.764516129,2018-12-01
2018,12,"SJD",8.32345161290323,16.9787096774194,52.4387096774194,30133.5387096774,2018-12-01
2019,1,"FAR",6.24077419354839,23.1622258064516,314.948387096774,76667.1741935484,2019-01-01
2019,1,"LSA",5.15467741935484,18.1217096774194,80.8967741935484,20744.5677419355,2019-01-01
2019,1,"QUD",6.53322580645161,16.4181935483871,107.974193548387,13294.5290322581,2019-01-01
2019,1,"SEI",3.74945161290323,17.470935483871,89.9225806451613,42366.9419354839,2019-01-01
